Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Trial,Max Iter or Depth
0.9163952225841476,0.8501628664495114,0.8642779587404995,0.8534201954397395,0.8545059717698155,0.8697068403908795,0.8534201954397395,0.8718783930510315,0.8458197611292074,0.8458197611292074,0.8403908794788274,1,100
0.9239956568946797,0.8534201954397395,0.8816503800217155,0.8545059717698155,0.8501628664495114,0.8469055374592834,0.8729641693811075,0.8534201954397395,0.8686210640608035,0.8555917480998915,0.8490770901194354,2,100
0.9239956568946797,0.8588490770901195,0.8479913137893594,0.8707926167209555,0.8838219326818675,0.8458197611292074,0.8707926167209555,0.8523344191096635,0.8447339847991314,0.8783930510314875,0.8555917480998915,3,100
0.9207383279044516,0.8621064060803475,0.8534201954397395,0.8360477741585234,0.8566775244299675,0.8675352877307275,0.8545059717698155,0.8675352877307275,0.8534201954397395,0.8219326818675353,0.8534201954397395,4,100
0.9153094462540716,0.8360477741585234,0.8458197611292074,0.8327904451682954,0.8382193268186754,0.8621064060803475,0.8284473398479913,0.8555917480998915,0.8588490770901195,0.8762214983713354,0.8501628664495114,5,100
0.9185667752442996,0.8642779587404995,0.8631921824104235,0.8751357220412594,0.8664495114006515,0.8577633007600435,0.8447339847991314,0.8403908794788274,0.8523344191096635,0.8707926167209555,0.8610206297502715,6,100
0.9163952225841476,0.8675352877307275,0.8534201954397395,0.8740499457111836,0.8295331161780674,0.8697068403908795,0.8425624321389794,0.8664495114006515,0.8740499457111836,0.8621064060803475,0.8773072747014115,7,100
0.9163952225841476,0.8534201954397395,0.8751357220412594,0.8621064060803475,0.8545059717698155,0.8393051031487514,0.8729641693811075,0.8523344191096635,0.8458197611292074,0.8577633007600435,0.8512486427795874,8,100
0.9055374592833876,0.8458197611292074,0.8382193268186754,0.8751357220412594,0.8631921824104235,0.8208469055374593,0.8827361563517915,0.8566775244299675,0.8566775244299675,0.8621064060803475,0.8013029315960912,9,100
0.9283387622149837,0.8697068403908795,0.8664495114006515,0.8490770901194354,0.8458197611292074,0.8729641693811075,0.8729641693811075,0.8751357220412594,0.8642779587404995,0.8827361563517915,0.8631921824104235,10,100
0.9218241042345277,0.8686210640608035,0.8577633007600435,0.8566775244299675,0.8588490770901195,0.8762214983713354,0.8610206297502715,0.8664495114006515,0.8414766558089034,0.8436482084690554,0.8534201954397395,11,100
0.9391965255157437,0.8707926167209555,0.8783930510314875,0.8501628664495114,0.8501628664495114,0.9033659066232356,0.8881650380021715,0.8729641693811075,0.8599348534201955,0.8925081433224755,0.8631921824104235,12,100
0.9142236699239956,0.8762214983713354,0.8653637350705755,0.8599348534201955,0.8479913137893594,0.8588490770901195,0.8545059717698155,0.8490770901194354,0.8686210640608035,0.8664495114006515,0.8599348534201955,13,100
0.9402823018458197,0.8805646036916395,0.8403908794788274,0.8382193268186754,0.8697068403908795,0.8914223669923995,0.8838219326818675,0.8697068403908795,0.8892508143322475,0.8773072747014115,0.8501628664495114,14,100
0.9272529858849077,0.8436482084690554,0.8870792616720955,0.8729641693811075,0.8631921824104235,0.8816503800217155,0.8903365906623235,0.8631921824104235,0.8382193268186754,0.8675352877307275,0.8664495114006515,15,100
0.9196525515743756,0.8599348534201955,0.8577633007600435,0.8935939196525515,0.8469055374592834,0.8577633007600435,0.8371335504885994,0.8534201954397395,0.8512486427795874,0.8523344191096635,0.8642779587404995,16,100
0.9185667752442996,0.8631921824104235,0.8773072747014115,0.8327904451682954,0.8740499457111836,0.8338762214983714,0.8545059717698155,0.8523344191096635,0.8610206297502715,0.8631921824104235,0.8816503800217155,17,100
