Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Client 11 Accuracy,Client 12 Accuracy,Client 13 Accuracy,Client 14 Accuracy,Client 15 Accuracy,Client 16 Accuracy,Client 17 Accuracy,Client 18 Accuracy,Client 19 Accuracy,Client 20 Accuracy,Trial,Max Iter or Depth
0.9185667752442996,0.8447339847991314,0.8545059717698155,0.8566775244299675,0.8675352877307275,0.8230184581976113,0.8631921824104235,0.8132464712269273,0.8219326818675353,0.8425624321389794,0.8273615635179153,0.8306188925081434,0.8338762214983714,0.8273615635179153,0.8393051031487514,0.8089033659066233,0.8555917480998915,0.8631921824104235,0.8436482084690554,0.8447339847991314,0.8447339847991314,1,100
0.9239956568946797,0.8338762214983714,0.8110749185667753,0.8577633007600435,0.8577633007600435,0.8501628664495114,0.8545059717698155,0.8230184581976113,0.8230184581976113,0.8555917480998915,0.8534201954397395,0.8121606948968513,0.7763300760043431,0.8545059717698155,0.8555917480998915,0.8219326818675353,0.8306188925081434,0.8002171552660152,0.8099891422366993,0.8751357220412594,0.8447339847991314,2,100
0.9185667752442996,0.8251900108577633,0.8219326818675353,0.8512486427795874,0.8262757871878393,0.8458197611292074,0.8034744842562432,0.8512486427795874,0.8523344191096635,0.8403908794788274,0.8501628664495114,0.8338762214983714,0.8805646036916395,0.8110749185667753,0.8034744842562432,0.8425624321389794,0.8490770901194354,0.8501628664495114,0.8490770901194354,0.8219326818675353,0.8360477741585234,3,100
0.9326818675352877,0.8838219326818675,0.8371335504885994,0.8479913137893594,0.8479913137893594,0.8773072747014115,0.8751357220412594,0.8273615635179153,0.8241042345276873,0.8458197611292074,0.8838219326818675,0.8892508143322475,0.8469055374592834,0.8436482084690554,0.8610206297502715,0.8566775244299675,0.8436482084690554,0.8653637350705755,0.8382193268186754,0.8479913137893594,0.8338762214983714,4,100
0.9055374592833876,0.8675352877307275,0.7958740499457112,0.8219326818675353,0.8501628664495114,0.7828447339847991,0.8371335504885994,0.8230184581976113,0.8555917480998915,0.8469055374592834,0.8642779587404995,0.8165038002171553,0.8099891422366993,0.8013029315960912,0.8414766558089034,0.8067318132464713,0.8577633007600435,0.8501628664495114,0.8284473398479913,0.8490770901194354,0.8501628664495114,5,100
0.9294245385450597,0.8295331161780674,0.8306188925081434,0.8555917480998915,0.8458197611292074,0.8284473398479913,0.8566775244299675,0.8555917480998915,0.8469055374592834,0.7861020629750272,0.8523344191096635,0.8338762214983714,0.8121606948968513,0.8577633007600435,0.8653637350705755,0.7980456026058632,0.8479913137893594,0.8089033659066233,0.8479913137893594,0.8382193268186754,0.8284473398479913,6,100
0.9174809989142236,0.8219326818675353,0.8317046688382194,0.8642779587404995,0.8393051031487514,0.8447339847991314,0.8599348534201955,0.8393051031487514,0.8566775244299675,0.8230184581976113,0.8523344191096635,0.8056460369163952,0.8371335504885994,0.7785016286644951,0.7926167209554832,0.8827361563517915,0.8479913137893594,0.8490770901194354,0.8241042345276873,0.8555917480998915,0.8469055374592834,7,100
0.9229098805646037,0.8697068403908795,0.8436482084690554,0.8338762214983714,0.8230184581976113,0.8621064060803475,0.8686210640608035,0.8534201954397395,0.8241042345276873,0.8338762214983714,0.8469055374592834,0.8295331161780674,0.8371335504885994,0.8186753528773073,0.8740499457111836,0.8436482084690554,0.8718783930510315,0.8262757871878393,0.8393051031487514,0.8393051031487514,0.8469055374592834,8,100
0.9163952225841476,0.8707926167209555,0.8371335504885994,0.8653637350705755,0.8479913137893594,0.8425624321389794,0.8631921824104235,0.8045602605863192,0.8436482084690554,0.8393051031487514,0.8371335504885994,0.8555917480998915,0.8555917480998915,0.8566775244299675,0.8751357220412594,0.8317046688382194,0.8447339847991314,0.8501628664495114,0.8002171552660152,0.8034744842562432,0.8718783930510315,9,100
0.9261672095548317,0.8892508143322475,0.8501628664495114,0.8175895765472313,0.8686210640608035,0.8165038002171553,0.8501628664495114,0.8469055374592834,0.8208469055374593,0.8566775244299675,0.8165038002171553,0.8251900108577633,0.8501628664495114,0.8295331161780674,0.8794788273615635,0.8273615635179153,0.8479913137893594,0.8273615635179153,0.8501628664495114,0.8230184581976113,0.8610206297502715,10,100
