model,n_clients,comm_cost,target_dataset,accuracy,precision,recall,f1_score,frequency_true,frequency_pred
fedlr,40,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.0125,spambase,0.91,0.9230769230769231,0.7741935483870968,0.8421052631578947,0.31,0.26
fedlr,40,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.025,huga,0.76,0.7045454545454546,0.7380952380952381,0.7209302325581395,0.42,0.44
fedlr,40,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,40,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.0,huga,0.87,0.9052631578947369,0.9555555555555556,0.9297297297297298,0.9,0.95
fedlr,50,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.0,spambase,0.91,0.9270833333333334,0.978021978021978,0.9518716577540107,0.91,0.96
fedlr,50,0.0125,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.0125,huga,0.67,0.6756756756756757,0.847457627118644,0.7518796992481203,0.59,0.74
fedlr,50,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.0125,spambase,0.88,0.88,0.7096774193548387,0.7857142857142857,0.31,0.25
fedlr,50,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.025,huga,0.78,0.45454545454545453,0.23809523809523808,0.3125,0.21,0.11
fedlr,50,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,50,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.0,huga,0.9,0.9072164948453608,0.9887640449438202,0.946236559139785,0.89,0.97
fedlr,60,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,60,0.0,spambase,0.94,0.9381443298969072,1.0,0.9680851063829787,0.91,0.97
